Date,Carrot,Leeks,Beetroot,Brinjal,Ladies Finger,Location
5/31/2024,125,365,310,290,175,Nuwara Eliya
6/1/2024,125,365,310,290,175,Nuwara Eliya
6/2/2024,125,365,310,290,175,Nuwara Eliya
6/3/2024,125,365,310,290,175,Nuwara Eliya
6/4/2024,125,365,310,290,175,Nuwara Eliya
6/5/2024,125,365,310,290,175,Nuwara Eliya
6/6/2024,125,365,310,290,175,Nuwara Eliya
6/7/2024,295,455,330,350,165,Nuwara Eliya
6/8/2024,295,455,330,350,165,Nuwara Eliya
6/9/2024,295,455,330,350,165,Nuwara Eliya
6/10/2024,295,455,330,350,165,Nuwara Eliya
6/11/2024,295,455,330,350,165,Nuwara Eliya
6/12/2024,295,455,330,350,165,Nuwara Eliya
6/13/2024,295,455,330,350,165,Nuwara Eliya
6/14/2024,355,565,480,390,155,Nuwara Eliya
6/15/2024,355,565,480,390,155,Nuwara Eliya
6/16/2024,355,565,480,390,155,Nuwara Eliya
6/17/2024,355,565,480,390,155,Nuwara Eliya
6/18/2024,355,565,480,390,155,Nuwara Eliya
6/19/2024,355,565,480,390,155,Nuwara Eliya
6/20/2024,355,565,480,390,155,Nuwara Eliya
6/21/2024,415,465,470,390,155,Nuwara Eliya
6/22/2024,415,465,470,390,155,Nuwara Eliya
6/23/2024,415,465,470,390,155,Nuwara Eliya
6/24/2024,415,465,470,390,155,Nuwara Eliya
6/25/2024,415,465,470,390,155,Nuwara Eliya
6/26/2024,415,465,470,390,155,Nuwara Eliya
6/27/2024,415,465,470,390,155,Nuwara Eliya
6/28/2024,465,465,380,240,155,Nuwara Eliya
6/29/2024,465,465,380,240,155,Nuwara Eliya
6/30/2024,465,465,380,240,155,Nuwara Eliya
7/1/2024,465,465,380,240,155,Nuwara Eliya
7/2/2024,465,465,380,240,155,Nuwara Eliya
7/3/2024,465,465,380,240,155,Nuwara Eliya
7/4/2024,465,465,380,240,155,Nuwara Eliya
7/5/2024,365,415,315,175,165,Nuwara Eliya
7/6/2024,365,415,315,175,165,Nuwara Eliya
7/7/2024,365,415,315,175,165,Nuwara Eliya
7/8/2024,365,415,315,175,165,Nuwara Eliya
7/9/2024,365,415,315,175,165,Nuwara Eliya
7/10/2024,365,415,315,175,165,Nuwara Eliya
7/11/2024,365,415,315,175,165,Nuwara Eliya
7/12/2024,365,365,265,175,165,Nuwara Eliya
7/13/2024,365,365,265,175,165,Nuwara Eliya
7/14/2024,365,365,265,175,165,Nuwara Eliya
7/15/2024,365,365,265,175,165,Nuwara Eliya
7/16/2024,365,365,265,175,165,Nuwara Eliya
7/17/2024,365,365,265,175,165,Nuwara Eliya
7/18/2024,365,365,265,175,165,Nuwara Eliya
7/19/2024,370,365,235,185,170,Nuwara Eliya
7/20/2024,370,365,235,185,170,Nuwara Eliya
7/21/2024,370,365,235,185,170,Nuwara Eliya
7/22/2024,370,365,235,185,170,Nuwara Eliya
7/23/2024,370,365,235,185,170,Nuwara Eliya
7/24/2024,370,365,235,185,170,Nuwara Eliya
7/25/2024,370,365,235,185,170,Nuwara Eliya
7/26/2024,315,355,215,215,125,Nuwara Eliya
7/27/2024,315,355,215,215,125,Nuwara Eliya
7/28/2024,315,355,215,215,125,Nuwara Eliya
7/29/2024,315,355,215,215,125,Nuwara Eliya
7/30/2024,315,355,215,215,125,Nuwara Eliya
7/31/2024,315,355,215,215,125,Nuwara Eliya
8/1/2024,315,355,215,215,125,Nuwara Eliya
8/2/2024,205,265,195,200,75,Nuwara Eliya
8/3/2024,205,265,195,200,75,Nuwara Eliya
8/4/2024,205,265,195,200,75,Nuwara Eliya
8/5/2024,205,265,195,200,75,Nuwara Eliya
8/6/2024,205,265,195,200,75,Nuwara Eliya
8/7/2024,205,265,195,200,75,Nuwara Eliya
8/8/2024,205,265,195,200,75,Nuwara Eliya
8/9/2024,265,265,160,225,85,Nuwara Eliya
8/10/2024,265,265,160,225,85,Nuwara Eliya
8/11/2024,265,265,160,225,85,Nuwara Eliya
8/12/2024,265,265,160,225,85,Nuwara Eliya
8/13/2024,265,265,160,225,85,Nuwara Eliya
8/14/2024,265,265,160,225,85,Nuwara Eliya
8/15/2024,265,265,160,225,85,Nuwara Eliya
8/16/2024,205,245,155,170,75,Nuwara Eliya
8/17/2024,205,245,155,170,75,Nuwara Eliya
8/18/2024,205,245,155,170,75,Nuwara Eliya
8/19/2024,205,245,155,170,75,Nuwara Eliya
8/20/2024,205,245,155,170,75,Nuwara Eliya
8/21/2024,205,245,155,170,75,Nuwara Eliya
8/22/2024,205,245,155,170,75,Nuwara Eliya
8/23/2024,185,215,115,175,85,Nuwara Eliya
8/24/2024,185,215,115,175,85,Nuwara Eliya
8/25/2024,185,215,115,175,85,Nuwara Eliya
8/26/2024,185,215,115,175,85,Nuwara Eliya
8/27/2024,185,215,115,175,85,Nuwara Eliya
8/28/2024,185,215,115,175,85,Nuwara Eliya
8/29/2024,185,215,115,175,85,Nuwara Eliya
